GEDIV,GTMETSTA,GTCBSASZ,PESEX,PRTAGE,PEEDUCA,PUWK,PTS16E
6,1,5,2,77,39,3,12
6,2,0,1,73,46,3,20
6,2,0,2,72,45,1,8
6,2,0,1,34,40,1,500
6,2,0,2,32,42,2,500
6,1,5,2,61,44,1,20
6,1,5,1,60,44,1,75
6,1,5,2,54,39,1,100
6,1,5,1,67,44,3,120
6,1,5,1,34,44,1,20
6,1,2,2,56,43,1,20
6,1,2,1,51,44,3,100
6,1,3,1,54,43,1,500
6,1,3,2,41,43,1,250
6,1,3,2,75,40,3,22
1,1,4,2,43,41,1,5
1,1,4,2,36,40,1,40
1,1,5,2,57,44,1,2
1,1,5,1,55,43,3,20
1,1,5,2,70,43,3,120
1,2,0,1,59,40,2,6
1,1,5,1,75,43,3,50
1,1,5,2,76,41,3,500
1,1,4,2,65,40,1,5
1,1,4,2,63,43,3,36
1,1,4,1,59,39,1,500
1,1,3,2,35,40,1,4
1,1,3,2,53,39,2,6
1,1,3,1,54,39,2,30
1,1,3,2,85,44,1,364
1,1,3,2,32,44,2,100
1,1,3,1,75,40,1,2
1,1,5,2,57,45,1,54
1,1,4,1,75,42,3,50
1,1,4,2,73,42,3,25
1,1,4,1,63,39,1,20
1,1,4,2,56,39,1,200
1,1,4,2,50,43,1,30
5,1,2,1,37,43,1,100
5,1,2,2,41,43,1,12
5,1,2,1,64,39,3,50
5,1,2,2,63,43,3,50
5,1,2,1,30,39,1,150
5,1,2,1,59,43,1,10
5,1,2,2,44,42,1,8
5,1,2,2,72,35,3,24
5,1,2,1,79,39,3,24
5,1,2,1,76,44,3,300
5,1,7,2,80,40,3,3
5,1,7,2,65,43,3,20
5,1,7,1,65,46,3,30
5,1,7,2,58,40,1,4
5,1,7,2,64,44,1,2
5,1,7,2,75,44,3,120
5,1,7,1,74,43,3,100
5,1,3,1,75,41,3,60
5,1,3,2,72,44,3,84
5,1,3,2,39,42,2,4
5,1,3,2,68,42,3,12
5,1,3,2,72,44,3,50
5,1,3,1,73,39,3,500
5,1,3,2,64,44,3,30
5,1,3,1,73,40,3,30
5,1,7,1,48,44,1,30
5,1,7,2,52,44,1,12
5,1,7,1,75,46,3,6
5,1,7,2,40,44,1,500
5,1,7,2,27,45,1,20
5,1,7,1,32,43,1,30
5,1,7,2,39,42,1,3
5,1,7,2,75,43,3,4
5,1,7,2,68,43,1,3
5,1,7,2,79,46,1,500
5,1,7,1,80,44,3,500
5,1,7,1,76,45,3,500
5,1,7,2,74,45,1,500
5,1,7,1,51,46,1,20
5,1,7,2,51,46,1,10
5,1,7,2,39,44,1,2
5,1,7,2,34,44,1,80
5,1,7,2,50,46,1,2
5,1,4,2,36,43,1,3
5,1,7,1,33,43,2,2
5,1,5,2,69,43,3,60
5,1,5,1,48,43,1,40
5,1,5,2,59,43,1,2
5,1,5,2,30,40,1,125
5,1,5,2,61,44,1,12
5,1,6,1,38,39,1,18
5,1,6,2,29,39,1,18
5,1,5,2,64,44,1,100
5,1,5,1,44,39,1,12
5,2,0,2,67,39,3,1
5,1,7,2,44,44,1,10
5,1,5,2,41,43,2,3
5,1,5,2,85,43,3,150
5,1,7,1,73,45,3,25
5,1,6,2,76,43,3,2
5,1,6,1,74,39,3,4
5,1,6,2,72,39,3,4
5,1,6,2,76,44,1,4
5,1,4,1,75,44,1,52
5,1,4,2,85,40,3,52
5,2,0,2,23,40,2,10
5,2,0,1,38,39,1,2
5,1,5,2,68,40,3,10
5,1,5,1,80,43,3,10
5,2,0,2,34,44,1,12
5,2,0,1,34,43,1,4
5,2,0,2,67,40,3,120
5,1,3,2,74,40,1,60
5,2,0,2,29,39,1,4
5,2,0,1,76,39,3,4
5,1,7,1,41,44,1,24
5,1,7,2,38,44,1,15
5,1,7,1,31,43,1,50
5,1,7,1,41,40,1,8
5,1,7,1,24,43,1,3
5,1,7,2,23,43,1,20
5,1,7,1,47,46,1,10
5,1,7,2,46,46,2,5
5,1,7,2,75,45,2,60
5,1,7,2,74,43,2,240
5,1,7,2,41,39,1,20
5,1,2,1,73,40,2,180
5,2,0,1,43,39,1,5
5,2,0,2,36,39,1,3
5,2,0,1,67,43,3,10
5,1,7,1,63,43,3,120
5,1,7,2,63,43,3,40
5,1,3,2,59,43,3,8
5,1,3,2,48,43,1,80
5,1,3,2,18,37,2,40
5,1,7,2,66,39,3,3
5,1,7,2,34,43,1,4
6,2,0,2,61,44,1,150
6,1,5,1,70,45,1,120
6,1,5,2,77,43,3,24
6,1,3,2,33,46,1,100
6,1,5,1,25,43,1,3
6,1,5,2,24,43,1,15
6,1,5,2,85,45,3,4
6,1,5,2,53,39,1,500
6,1,5,1,54,43,1,250
6,1,5,2,64,44,1,20
6,2,0,2,37,43,2,18
6,2,0,1,39,43,1,220
6,1,5,1,45,44,1,2
6,1,5,2,62,40,1,75
6,1,3,2,45,41,1,80
6,1,3,2,77,41,3,1
7,1,4,2,64,45,3,32
7,1,4,1,53,39,1,30
7,1,4,1,54,39,1,4
7,1,5,1,62,40,1,4
7,1,0,2,73,40,2,52
7,1,5,2,45,43,1,8
7,1,5,1,40,39,1,10
7,1,5,2,46,39,1,10
7,1,5,2,46,43,1,16
7,1,5,2,33,43,1,2
7,2,0,1,78,39,3,150
7,2,0,2,68,41,1,150
1,2,0,1,47,42,1,40
1,1,2,2,80,39,3,3
1,1,2,2,73,39,3,4
1,1,2,1,67,39,3,5
1,1,4,1,66,44,1,96
1,1,4,2,62,43,2,500
1,1,4,2,37,44,1,24
5,1,6,2,51,39,1,100
5,1,6,2,62,44,1,20
5,1,6,1,43,39,1,24
5,1,7,2,80,39,3,24
5,1,7,2,54,43,1,300
5,1,6,2,66,44,1,4
5,1,6,2,57,40,2,3
5,1,6,2,39,43,1,25
5,1,6,2,60,44,1,32
5,1,7,1,41,44,1,5
5,1,7,2,38,44,1,4
5,1,7,2,41,44,1,25
5,1,7,2,61,43,1,5
5,1,7,2,58,43,1,250
5,1,7,2,51,44,1,25
5,1,7,1,25,43,2,14
