Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
10/03/2012 12:00:00 AM,13,4,9
10/03/2012 01:00:00 AM,10,4,6
10/03/2012 02:00:00 AM,2,1,1
10/03/2012 03:00:00 AM,5,2,3
10/03/2012 04:00:00 AM,7,6,1
10/03/2012 05:00:00 AM,31,21,10
10/03/2012 06:00:00 AM,155,105,50
10/03/2012 07:00:00 AM,352,257,95
10/03/2012 08:00:00 AM,437,291,146
10/03/2012 09:00:00 AM,276,172,104
10/03/2012 10:00:00 AM,118,72,46
10/03/2012 11:00:00 AM,42,10,32
10/03/2012 12:00:00 PM,76,35,41
10/03/2012 01:00:00 PM,90,42,48
10/03/2012 02:00:00 PM,128,77,51
10/03/2012 03:00:00 PM,164,72,92
10/03/2012 04:00:00 PM,315,133,182
10/03/2012 05:00:00 PM,583,192,391
10/03/2012 06:00:00 PM,380,122,258
10/03/2012 07:00:00 PM,128,59,69
10/03/2012 08:00:00 PM,80,29,51
10/03/2012 09:00:00 PM,63,25,38
10/03/2012 10:00:00 PM,49,24,25
10/03/2012 11:00:00 PM,17,5,12
10/04/2012 12:00:00 AM,18,7,11
10/04/2012 01:00:00 AM,3,3,0
10/04/2012 02:00:00 AM,9,3,6
10/04/2012 03:00:00 AM,3,0,3
10/04/2012 04:00:00 AM,8,7,1
10/04/2012 05:00:00 AM,26,15,11
10/04/2012 06:00:00 AM,142,91,51
10/04/2012 07:00:00 AM,319,230,89
10/04/2012 08:00:00 AM,418,284,134
10/04/2012 09:00:00 AM,241,147,94
10/04/2012 10:00:00 AM,120,67,53
10/04/2012 11:00:00 AM,108,53,55
10/04/2012 12:00:00 PM,104,54,50
10/04/2012 01:00:00 PM,126,55,71
10/04/2012 02:00:00 PM,119,63,56
10/04/2012 03:00:00 PM,147,73,74
10/04/2012 04:00:00 PM,275,114,161
10/04/2012 05:00:00 PM,507,154,353
10/04/2012 06:00:00 PM,378,137,241
10/04/2012 07:00:00 PM,164,57,107
10/04/2012 08:00:00 PM,83,27,56
10/04/2012 09:00:00 PM,70,31,39
10/04/2012 10:00:00 PM,46,25,21
10/04/2012 11:00:00 PM,41,11,30
10/05/2012 12:00:00 AM,11,4,7
10/05/2012 01:00:00 AM,8,4,4
10/05/2012 02:00:00 AM,7,4,3
10/05/2012 03:00:00 AM,4,2,2
10/05/2012 04:00:00 AM,9,7,2
10/05/2012 05:00:00 AM,25,18,7
10/05/2012 06:00:00 AM,105,68,37
10/05/2012 07:00:00 AM,319,218,101
10/05/2012 08:00:00 AM,370,251,119
10/05/2012 09:00:00 AM,212,131,81
10/05/2012 10:00:00 AM,119,71,48
10/05/2012 11:00:00 AM,104,43,61
10/05/2012 12:00:00 PM,101,55,46
10/05/2012 01:00:00 PM,112,62,50
10/05/2012 02:00:00 PM,125,63,62
10/05/2012 03:00:00 PM,164,80,84
10/05/2012 04:00:00 PM,310,120,190
10/05/2012 05:00:00 PM,434,144,290
10/05/2012 06:00:00 PM,316,107,209
10/05/2012 07:00:00 PM,115,42,73
10/05/2012 08:00:00 PM,68,27,41
10/05/2012 09:00:00 PM,42,11,31
10/05/2012 10:00:00 PM,36,10,26
10/05/2012 11:00:00 PM,32,16,16
10/06/2012 12:00:00 AM,15,8,7
10/06/2012 01:00:00 AM,15,10,5
10/06/2012 02:00:00 AM,9,7,2
10/06/2012 03:00:00 AM,3,1,2
10/06/2012 04:00:00 AM,5,4,1
10/06/2012 05:00:00 AM,5,3,2
10/06/2012 06:00:00 AM,27,12,15
10/06/2012 07:00:00 AM,33,17,16
10/06/2012 08:00:00 AM,105,58,47
10/06/2012 09:00:00 AM,114,59,55
10/06/2012 10:00:00 AM,115,68,47
10/06/2012 11:00:00 AM,124,76,48
10/06/2012 12:00:00 PM,164,91,73
10/06/2012 01:00:00 PM,177,95,82
10/06/2012 02:00:00 PM,203,89,114
10/06/2012 03:00:00 PM,211,115,96
10/06/2012 04:00:00 PM,183,107,76
10/06/2012 05:00:00 PM,180,107,73
10/06/2012 06:00:00 PM,96,41,55
10/06/2012 07:00:00 PM,78,40,38
10/06/2012 08:00:00 PM,43,25,18
10/06/2012 09:00:00 PM,33,18,15
10/06/2012 10:00:00 PM,34,14,20
10/06/2012 11:00:00 PM,34,15,19
10/07/2012 12:00:00 AM,11,6,5
10/07/2012 01:00:00 AM,17,12,5
10/07/2012 02:00:00 AM,3,2,1
10/07/2012 03:00:00 AM,6,4,2
10/07/2012 04:00:00 AM,3,1,2
10/07/2012 05:00:00 AM,9,6,3
10/07/2012 06:00:00 AM,17,9,8
10/07/2012 07:00:00 AM,26,14,12
10/07/2012 08:00:00 AM,69,43,26
10/07/2012 09:00:00 AM,103,67,36
10/07/2012 10:00:00 AM,108,67,41
10/07/2012 11:00:00 AM,165,94,71
10/07/2012 12:00:00 PM,191,100,91
10/07/2012 01:00:00 PM,228,129,99
10/07/2012 02:00:00 PM,241,126,115
10/07/2012 03:00:00 PM,231,122,109
10/07/2012 04:00:00 PM,225,132,93
10/07/2012 05:00:00 PM,191,118,73
10/07/2012 06:00:00 PM,113,68,45
10/07/2012 07:00:00 PM,49,26,23
10/07/2012 08:00:00 PM,55,19,36
10/07/2012 09:00:00 PM,47,12,35
10/07/2012 10:00:00 PM,18,9,9
10/07/2012 11:00:00 PM,16,5,11
10/08/2012 12:00:00 AM,9,4,5
10/08/2012 01:00:00 AM,4,2,2
10/08/2012 02:00:00 AM,5,5,0
10/08/2012 03:00:00 AM,5,1,4
10/08/2012 04:00:00 AM,5,3,2
10/08/2012 05:00:00 AM,23,16,7
10/08/2012 06:00:00 AM,137,89,48
10/08/2012 07:00:00 AM,327,233,94
10/08/2012 08:00:00 AM,457,304,153
10/08/2012 09:00:00 AM,278,174,104
10/08/2012 10:00:00 AM,97,53,44
10/08/2012 11:00:00 AM,99,55,44
10/08/2012 12:00:00 PM,108,53,55
10/08/2012 01:00:00 PM,96,52,44
10/08/2012 02:00:00 PM,121,59,62
10/08/2012 03:00:00 PM,167,92,75
10/08/2012 04:00:00 PM,252,117,135
10/08/2012 05:00:00 PM,604,214,390
10/08/2012 06:00:00 PM,365,139,226
10/08/2012 07:00:00 PM,168,73,95
10/08/2012 08:00:00 PM,94,37,57
10/08/2012 09:00:00 PM,63,28,35
10/08/2012 10:00:00 PM,29,15,14
10/08/2012 11:00:00 PM,24,11,13
10/09/2012 12:00:00 AM,12,8,4
10/09/2012 01:00:00 AM,3,1,2
10/09/2012 02:00:00 AM,4,2,2
10/09/2012 03:00:00 AM,8,5,3
10/09/2012 04:00:00 AM,9,4,5
10/09/2012 05:00:00 AM,31,22,9
10/09/2012 06:00:00 AM,153,103,50
10/09/2012 07:00:00 AM,368,258,110
10/09/2012 08:00:00 AM,462,317,145
10/09/2012 09:00:00 AM,275,163,112
10/09/2012 10:00:00 AM,94,58,36
10/09/2012 11:00:00 AM,74,29,45
10/09/2012 12:00:00 PM,77,37,40
10/09/2012 01:00:00 PM,83,46,37
10/09/2012 02:00:00 PM,108,54,54
10/09/2012 03:00:00 PM,134,62,72
10/09/2012 04:00:00 PM,244,95,149
10/09/2012 05:00:00 PM,597,197,400
10/09/2012 06:00:00 PM,396,152,244
10/09/2012 07:00:00 PM,163,58,105
10/09/2012 08:00:00 PM,85,32,53
10/09/2012 09:00:00 PM,64,30,34
10/09/2012 10:00:00 PM,34,17,17
10/09/2012 11:00:00 PM,23,9,14
10/10/2012 12:00:00 AM,15,8,7
10/10/2012 01:00:00 AM,3,1,2
10/10/2012 02:00:00 AM,3,3,0
10/10/2012 03:00:00 AM,4,1,3
10/10/2012 04:00:00 AM,5,3,2
10/10/2012 05:00:00 AM,25,16,9
10/10/2012 06:00:00 AM,149,109,40
10/10/2012 07:00:00 AM,340,245,95
10/10/2012 08:00:00 AM,435,302,133
10/10/2012 09:00:00 AM,255,156,99
10/10/2012 10:00:00 AM,97,53,44
10/10/2012 11:00:00 AM,55,34,21
10/10/2012 12:00:00 PM,87,47,40
10/10/2012 01:00:00 PM,94,46,48
10/10/2012 02:00:00 PM,93,54,39
10/10/2012 03:00:00 PM,130,65,65
10/10/2012 04:00:00 PM,230,102,128
10/10/2012 05:00:00 PM,532,155,377
10/10/2012 06:00:00 PM,331,116,215
10/10/2012 07:00:00 PM,145,51,94
10/10/2012 08:00:00 PM,86,30,56
10/10/2012 09:00:00 PM,62,24,38
10/10/2012 10:00:00 PM,36,17,19
10/10/2012 11:00:00 PM,23,10,13
10/11/2012 12:00:00 AM,21,7,14
10/11/2012 01:00:00 AM,10,4,6
10/11/2012 02:00:00 AM,13,8,5
10/11/2012 03:00:00 AM,2,0,2
10/11/2012 04:00:00 AM,12,11,1
10/11/2012 05:00:00 AM,12,0,12
10/11/2012 06:00:00 AM,43,2,41
10/11/2012 07:00:00 AM,304,225,79
10/11/2012 08:00:00 AM,404,282,122
10/11/2012 09:00:00 AM,189,141,48
10/11/2012 10:00:00 AM,4,4,0
10/11/2012 11:00:00 AM,92,87,5
10/11/2012 12:00:00 PM,81,44,37
10/11/2012 01:00:00 PM,118,60,58
10/11/2012 02:00:00 PM,108,52,56
10/11/2012 03:00:00 PM,143,74,69
10/11/2012 04:00:00 PM,270,135,135
10/11/2012 05:00:00 PM,517,157,360
10/11/2012 06:00:00 PM,299,113,186
10/11/2012 07:00:00 PM,149,57,92
10/11/2012 08:00:00 PM,104,44,60
10/11/2012 09:00:00 PM,71,26,45
10/11/2012 10:00:00 PM,48,29,19
10/11/2012 11:00:00 PM,33,17,16
10/12/2012 12:00:00 AM,17,8,9
10/12/2012 01:00:00 AM,13,7,6
10/12/2012 02:00:00 AM,5,4,1
